reactant_A,reactant_B,label_str,label_int,identifier
O=C([O])CCC(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,hydrate,3,NUYRIJ
O=C([O])C=CC(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,hydrate,3,NUYREF
O=C([O])CCCCC(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,NUYROP
OC(=O)c1ccccc1,Nc1cc(nc(N)[n]1[O])N1CCCCC1,cocrystal,2,NUYSIK
Nc1cc(nc(N)[n]1O)N1CCCCC1,OC(=O)c1ccccc1C(=O)[O],salt,1,CAYJUL
O=C([O])c1cccc(c1)C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,CAYJOF
OC(=O)c1ccc(cc1)C(O)=O,Nc1cc(nc(N)[n]1[O])N1CCCCC1,cocrystal,2,WIYXEL
Oc1ccc(c(O)c1)C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,UDABOU
OC(C(O)C(=O)[O])C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,hydrate,3,NUYRAB
COc1c(C)c2COC(=O)c2c(O)c1CC=C(C)CCC(O)=O,NC1=CC(=NC(=[NH2])N1[O])N1CCCCC1,cocrystal,2,XAVTOG
O=S(=O)([O])c1ccc2ccccc2c1,Nc1[nH]c(cc(N)[n]1[O])N1CCCCC1,hydrate,3,WIYWAG
CC(C)(C)c1ccc(cc1)C(O)=O,Nc1cc(nc(N)[n]1[O])N1CCCCC1,hydrate,3,WIYWIO
Clc1cc(Cl)cc(c1)C(=O)[O],Nc1[nH]c(cc(N)[n]1[O])N1CCCCC1,hydrate,3,WIYWOU
Cc1ccc(C(O)=O)c(O)c1,Nc1cc(nc(N)[n]1[O])N1CCCCC1,hydrate,3,WIYWUA
O=S(=O)([O])c1cccc2c1cccc2S(=O)(=O)[O],Nc1[nH]c(cc(N)[n]1[O])N1CCCCC1,hydrate,3,WIYXAH
OC(=O)c1cc(O)cc(c1)C(O)=O,Nc1cc(nc(N)[n]1[O])N1CCCCC1,hydrate,3,WIYXIP
Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)C1=CC=CS1,cocrystal,2,BOFVUR
Oc1ccc(CC(=O)[O])cc1,Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,BOFWAY
OC(=O)c1ccc(Cl)c(Cl)c1,Nc1cc(nc(N)[n]1[O])N1CCCCC1,cocrystal,2,BOFWEC
Clc1ccc(c(Cl)c1)C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,hydrate,3,BOFWIG
OC(=O)c1cccc(n1)C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,hydrate,3,BOFXAZ
N=C1N=C(N2CCCCC2)C=C(N)N1O,CCCCCCCCCCCCCCCC(=O)O,failed,0,
N=C1N=C(N2CCCCC2)C=C(N)N1O,NC(N)=NCCC[C@H](N)C(=O)O,failed,0,
N=C1N=C(N2CCCCC2)C=C(N)N1O,NCC(=O)O,failed,0,
N=C1N=C(N2CCCCC2)C=C(N)N1O,N[C@@H](CCC(=O)O)C(=O)O,failed,0,
N=C1N=C(N2CCCCC2)C=C(N)N1O,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O,failed,0,
N=C1N=C(N2CCCCC2)C=C(N)N1O,N[C@@H](CS)C(=O)O,failed,0,
N=C1N=C(N2CCCCC2)C=C(N)N1O,N[C@@H](CC(=O)O)C(=O)O,failed,0,
N=C1N=C(N2CCCCC2)C=C(N)N1O,N[C@@H](CC1=CC=CC=C1)C(=O)O,failed,0,
N=C1N=C(N2CCCCC2)C=C(N)N1O,CSCC[C@H](N)C(=O)O,failed,0,
Nc1cc(nc(N)[n]1O)N1CCCCC1,O=C([O])CCC(=O)[O],hydrate,3,NUYRIJ
Nc1cc(nc(N)[n]1O)N1CCCCC1,O=C([O])C=CC(=O)[O],hydrate,3,NUYREF
Nc1cc(nc(N)[n]1O)N1CCCCC1,O=C([O])CCCCC(=O)[O],salt,1,NUYROP
Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)c1ccccc1,cocrystal,2,NUYSIK
OC(=O)c1ccccc1C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,CAYJUL
Nc1cc(nc(N)[n]1O)N1CCCCC1,O=C([O])c1cccc(c1)C(=O)[O],salt,1,CAYJOF
Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)c1ccc(cc1)C(O)=O,cocrystal,2,WIYXEL
Nc1cc(nc(N)[n]1O)N1CCCCC1,Oc1ccc(c(O)c1)C(=O)[O],salt,1,UDABOU
Nc1cc(nc(N)[n]1O)N1CCCCC1,OC(C(O)C(=O)[O])C(=O)[O],hydrate,3,NUYRAB
NC1=CC(=NC(=[NH2])N1[O])N1CCCCC1,COc1c(C)c2COC(=O)c2c(O)c1CC=C(C)CCC(O)=O,cocrystal,2,XAVTOG
